"FXY1","FXY2","Title_en","ElementName_en"
"301192","054201",,"Year of decoding"
"301192","054202",,"Month of decoding"
"301192","054203",,"Day of decoding"
"301192","054204",,"Hour of decoding"
"301192","054205",,"Minute of decoding"
"301192","054211",,"Number of day of mrz back-up file"
"301192","054212",,"Number of record on mrz back-up file"
"301192","054213",,"Decoding running on mfa/mfb (values 1/0)"
"301192","002192",,"Cor message mark"
"301192","002193",,"Pseudo report"
"301192","002201",,"Overall quality bits"
"301193","301192",,
"301193","204005",,
"301193","031021",,
"301193","301023",,
"301193","301011",,
"301193","301012",,
"301193","204000",,
"301194","301001",,
"301194","007001",,
"301194","010001",,
"301194","002221",,"Units of elevation/confidence factor"
"301200","004214",,"Actual hour of observation"
"301200","004215",,"Actual minute of observation"
"301201","002001",,
"301201","002002",,
"301202","002003",,
"301202","002011",,
"301202","002013",,
"301202","002014",,
"301203","002061",,
"301203","008004",,
"301204","002021",,
"301204","002022",,
"301204","002023",,
"301204","002024",,
"301204","002025",,
"301205","004001",,
"301205","004002",,
"301205","004003",,
"301205","004004",,
"301205","004005",,
"301206","004001",,
"301206","004002",,
"301206","004003",,
"301206","004004",,
"301206","004005",,
"301207","004001",,
"301207","004002",,
"301207","004003",,
"301207","004004",,
"301207","004005",,
"301211","301193",,
"301211","001003",,
"301211","301194",,
"301211","001192",,"ICAO location indicator"
"301211","301003",,
"301211","001005",,
"301211","001006",,
"301211","001007",,
"302192","010051",,
"302192","010061",,
"302192","010063",,
"302193","010004",,
"302193","007004",,
"302193","010003",,
"302194","011011",,
"302194","011012",,
"302195","011041",,
"302195","011042",,
"302196","011041",,
"302196","011042",,
"302197","011041",,
"302197","011042",,
"302201","012004",,
"302201","012006",,
"302201","013003",,
"302202","004031",,
"302202","012011",,
"302202","004031",,
"302202","012012",,
"302202","012013",,
"302203","004031",,
"302203","013011",,
"302204","101003",,
"302204","302203",,
"302204","013013",,
"302204","020062",,
"302204","020062",,
"302205","004031",,
"302205","013011",,
"302205","004194",,"Duration of precipit.during past hour"
"302206","004031",,
"302206","013012",,
"302207","004031",,
"302207","013011",,
"302208","004031",,
"302208","013012",,
"302208","013013",,
"302211","020001",,
"302211","020003",,
"302211","020004",,
"302211","020005",,
"302212","020010",,
"302212","020011",,
"302212","020013",,
"302212","020012",,
"302212","020012",,
"302212","020012",,
"302213","008002",,
"302213","020011",,
"302213","020012",,
"302213","020013",,
"302214","004192",,"Duration of time relat.to follow.value"
"302214","014031",,
"302215","004031",,
"302215","014031",,
"302216","004031",,
"302216","014021",,
"302217","004031",,
"302217","014023",,
"302218","004031",,
"302218","014002",,
"302219","020221",,"Intensity or proximity of weather"
"302219","020222",,"Descriptor of weather"
"302219","020223",,"Weather phenomena (METAR)"
"302220","020221",,"Intensity or proximity of weather"
"302220","020222",,"Descriptor of weather"
"302220","020223",,"Weather phenomena (METAR)"
"302221","302192",,
"302221","302193",,
"302221","010062",,
"302221","302194",,
"302221","302201",,
"302221","302211",,
"302221","302212",,
"302223","302195",,
"302223","302202",,
"302223","302204",,
"302223","101004",,
"302223","302213",,
"302224","013032",,
"302224","002004",,
"302224","302214",,
"302224","302215",,
"302224","101002",,
"302224","302216",,
"302224","302217",,
"302224","302218",,
"302225","004192",,"Duration of time relat.to follow.value"
"302225","012004",,
"302225","012061",,
"302225","051192",,"Short distance lightning"
"302225","051193",,"Distant lightning"
"302225","013203",,"Total water equivalent at snow sampler"
"302225","020193",,"Additional weather phenomena"
"302225","020194",,"Height of top of phenomena"
"302225","020195",,"Weather phenomena"
"302225","020196",,"Direction of main occ.of weather phen."
"302226","007061",,
"302226","012030",,
"302227","020197",,"Base of cloud class"
"302227","020198",,"Number of values in base of cloud class"
"302228","101007",,
"302228","302226",,
"302228","101008",,
"302228","302227",,
"302228","020199",,"Lowest height o.base o.cloud dur.last h."
"302229","101003",,
"302229","302219",,
"302229","101003",,
"302229","302220",,
"302230","020011",,
"302230","020013",,
"302231","204005",,
"302231","031021",,
"302231","010004",,
"302231","010052",,
"302231","302194",,
"302231","302201",,
"302231","302211",,
"302231","020010",,
"302231","011041",,
"302231","101004",,
"302231","302213",,
"302231","204000",,
"302232","031021",,
"302232","010052",,
"302232","302194",,
"302232","011041",,
"302232","012004",,
"302232","012006",,
"302232","020001",,
"302232","020003",,
"302232","302229",,
"302232","101004",,
"302232","302230",,
"302235","204005",,
"302235","031021",,
"302235","010004",,
"302235","010051",,
"302235","007004",,
"302235","010003",,
"302235","012004",,
"302235","013004",,
"302235","022042",,
"302235","204000",,
"302236","204005",,
"302236","031021",,
"302236","013011",,
"302236","013192",,"Frequency group , precipitation"
"302236","014032",,
"302237","004022",,
"302237","008021",,
"302237","302235",,
"302237","004022",,
"302237","008021",,
"302237","302236",,
"302237","004201",,"Number of days with precipitation ge 1MM"
"302237","014192",,"Total sunshine for the month"
"302237","204000",,
"302238","004021",,
"302238","008021",,
"302238","004022",,
"302238","008021",,
"302238","302235",,
"302238","004021",,
"302238","008021",,
"302238","004022",,
"302238","008021",,
"302238","302236",,
"302238","204000",,
"302240","004192",,"Duration of time relat.to follow.value"
"302240","014031",,
"302241","004192",,"Duration of time relat.to follow.value"
"302241","012004",,
"302241","004031",,
"302241","012011",,
"302241","004031",,
"302241","012012",,
"302241","012192",,"Ground minimum TEMP.,past 10 hours(clim)"
"302241","012193",,"Depth of snow above ground minimum therm"
"302241","012005",,
"302241","012201",,"Water/ice/sign(wet bulb temperature)"
"302241","013003",,
"302242","001201",,"Place of obs. of visibilty/cloud cover"
"302242","020001",,
"302242","020010",,
"302242","020062",,
"302242","020062",,
"302242","020202",,"Present weather (climatolog.observation)"
"302242","020203",,"Form of precipitation"
"302242","020204",,"Fallen precipitation (day before)"
"302242","020205",,"Dew, rime etc. (day before)"
"302242","020206",,"Other weather (day before)"
"302243","013201",,"Total depth of snow at snow sampler"
"302243","013202",,"Total water equivalent at snow sampler"
"302243","013203",,"Total water equivalent at snow sampler"
"302244","204005",,
"302244","031021",,
"302244","012004",,
"302244","012211",,"Dry bulb TEMP.at 2 m, deviat.from normal"
"302244","010004",,
"302244","013003",,
"302244","012011",,
"302244","101004",,
