"FXY1","FXY2","Title_en","ElementName_en"
"301192","054201",,"Year of decoding"
"301192","054202",,"Month of decoding"
"301192","054203",,"Day of decoding"
"301192","054204",,"Hour of decoding"
"301192","054205",,"Minute of decoding"
"301192","054211",,"Number of day of mrz back-up file"
"301192","054212",,"Number of record on mrz back-up file"
"301192","054213",,"Decoding running on mfa/mfb (values 1/0)"
"301192","002192",,"Cor message mark"
"301192","002193",,"Pseudo report"
"301192","002201",,"Overall quality bits"
"301193","301192",,
"301193","204005",,
"301193","031021",,
"301193","301023",,
"301193","301011",,
"301193","301012",,
"301193","204000",,
"301194","301001",,
"301194","007001",,
"301194","010001",,
"301194","002221",,"Units of elevation/confidence factor"
"301195","301011",,
"301195","301013",,
"301195","301021",,
"301195","007002",,
"301196","301011",,
"301196","301013",,
"301196","301021",,
"301198","002038",,
"301198","002039",,
"301199","002051",,
"301199","026001",,
"301199","026002",,
"301200","004214",,"Actual hour of observation"
"301200","004215",,"Actual minute of observation"
"301201","002001",,
"301201","002002",,
"301202","002003",,
"301202","002011",,
"301202","002013",,
"301202","002014",,
"301203","002061",,
"301203","008004",,
"301204","002021",,
"301204","002022",,
"301204","002023",,
"301204","002024",,
"301204","002025",,
"301205","004001",,
"301205","004002",,
"301205","004003",,
"301205","004004",,
"301205","004005",,
"301206","004001",,
"301206","004002",,
"301206","004003",,
"301206","004004",,
"301206","004005",,
"301207","004001",,
"301207","004002",,
"301207","004003",,
"301207","004004",,
"301207","004005",,
"301208","301198",,
"301208","301200",,
"301208","301201",,
"301211","301193",,
"301211","001003",,
"301211","301194",,
"301211","001192",,"ICAO location indicator"
"301211","301003",,
"301211","001005",,
"301211","001006",,
"301211","001007",,
"301211","001031",,
"301212","002192",,"Cor message mark"
"301212","002193",,"Pseudo report"
"301212","002201",,"Overall quality bits"
"301212","204005",,
"301212","031021",,
"301212","301023",,
"301212","301011",,
"301212","301012",,
"301212","204000",,
"301213","301212",,
"301213","001003",,
"301213","301194",,
"301213","001192",,"ICAO location indicator"
"301213","301003",,
"301213","001005",,
"301213","001006",,
"301213","001007",,
"301213","001031",,
"301220","201138",,
"301220","202131",,
"301220","004006",,
"301220","201000",,
"301220","202000",,
"301220","301023",,
"301221","202127",,
"301221","001013",,
"301221","202126",,
"301221","007001",,
"301221","202000",,
"301221","025010",,
"301221","021064",,
"301223","025061",,
"301223","025068",,
"301223","001082",,
"301223","001083",,
"301223","001081",,
"301223","002067",,
"301223","002066",,
"301223","002014",,
"301224","025067",,
"301224","025065",,
"301224","025066",,
"301224","002095",,
"301224","002096",,
"301224","002097",,
"301224","002016",,
"301224","002083",,
"301224","002080",,
"301224","002081",,
"301224","001093",,
"301225","002084",,
"301225","002085",,
"301225","002086",,
"301225","002082",,
"301225","008041",,
"301225","301011",,
"301231","002231",,"Verification: observation code type"
"301231","005231",,"Verif.:x-coord.of ref.model grid point"
"301231","006231",,"Verif.:y-coord.of ref.model grid point"
"301231","005232",,"Verif.:number of grid points in x direct"
"301231","006232",,"Verif.:number of grid points in y direct"
"301231","007231",,"Height of model orography"
"301231","008231",,"Verification: report characteristics"
"302192","010051",,
"302192","010061",,
"302192","010063",,
"302193","010004",,
"302193","007004",,
"302193","010003",,
"302194","011011",,
"302194","011012",,
"302195","011041",,
"302195","011042",,
"302196","011041",,
"302196","011042",,
"302197","011041",,
"302197","011042",,
"302198","101000",,
"302198","031000",,
"302198","302004",,
"302198","101000",,
"302198","031001",,
"302198","302005",,
"302198","008002",,
"302198","101000",,
"302198","031000",,
"302198","302055",,
"302199","101000",,
"302199","031000",,
"302199","302056",,
"302199","101000",,
"302199","031000",,
"302199","302021",,
"302199","101000",,
"302199","031000",,
"302199","302024",,
"302201","012004",,
"302201","012006",,
"302201","013003",,
"302202","004031",,
"302202","012011",,
"302202","004031",,
"302202","012012",,
"302202","012013",,
"302203","004031",,
"302203","013011",,
"302204","101003",,
"302204","302203",,
"302204","013013",,
"302204","020062",,
"302204","020062",,
"302205","004031",,
"302205","013011",,
"302205","004194",,"Duration of precipit.during past hour"
"302206","004031",,
"302206","013012",,
"302207","004031",,
"302207","013011",,
"302208","004031",,
"302208","013012",,
"302208","013013",,
"302210","008002",,
"302210","020011",,
"302210","020012",,
"302210","020014",,
"302210","020017",,
"302211","020001",,
"302211","020003",,
"302211","020004",,
"302211","020005",,
"302212","020010",,
"302212","020011",,
"302212","020013",,
"302212","020012",,
"302212","020012",,
"302212","020012",,
"302213","008002",,
"302213","020011",,
"302213","020012",,
"302213","020013",,
"302214","004192",,"Duration of time relat.to follow.value"
"302214","014031",,
"302215","004031",,
"302215","014031",,
"302216","004031",,
"302216","014021",,
"302217","004031",,
"302217","014023",,
"302218","004031",,
"302218","014002",,
"302219","020221",,"Intensity or proximity of weather"
"302219","020222",,"Descriptor of weather"
"302219","020223",,"Weather phenomena (METAR)"
"302220","020221",,"Intensity or proximity of weather"
"302220","020222",,"Descriptor of weather"
"302220","020223",,"Weather phenomena (METAR)"
"302221","302192",,
"302221","302193",,
"302221","010062",,
"302221","302003",,
"302221","302212",,
"302223","302195",,
"302223","302202",,
"302223","302204",,
"302223","101004",,
"302223","302005",,
"302224","013032",,
"302224","002004",,
"302224","302214",,
"302224","302215",,
"302224","101002",,
"302224","302216",,
"302224","101002",,
"302224","302217",,
"302224","101002",,
"302224","302218",,
"302225","004192",,"Duration of time relat.to follow.value"
"302225","012004",,
"302225","012061",,
"302225","051192",,"Short distance lightning"
"302225","051193",,"Distant lightning"
"302225","013203",,"Total water equivalent at snow sampler"
"302225","101004",,
"302225","020193",,"Additional weather phenomena"
"302225","020194",,"Height of top of phenomena"
"302225","020195",,"Weather phenomena"
"302225","020196",,"Direction of main occ.of weather phen."
"302226","007061",,
"302226","012030",,
"302227","020197",,"Base of cloud class"
"302227","020198",,"Number of values in base of cloud class"
"302228","101007",,
"302228","302226",,
"302228","101008",,
"302228","302227",,
"302228","020199",,"Lowest height o.base o.cloud dur.last h."
"302229","101003",,
"302229","302219",,
"302229","101003",,
"302229","302220",,
"302230","020011",,
"302230","020013",,
"302231","204005",,
"302231","031021",,
"302231","010004",,
"302231","010052",,
"302231","302194",,
"302231","302201",,
