"FXY","CodeFigure","EntryName_en","EntryName_sub1_en","EntryName_sub2_en","Note_en"
"025192","0","Valid",,,
"025192","1","Invalid",,,
"025192","2","RESERVED",,,
"025192","3","RESERVED",,,
"025192","4","RESERVED",,,
"025192","5","RESERVED",,,
"025192","6","RESERVED",,,
"025192","7","RESERVED",,,
"025192","8","RESERVED",,,
"025192","9","RESERVED",,,
"025192","10","RESERVED",,,
"025192","11","RESERVED",,,
"025192","12","RESERVED",,,
"025192","13","RESERVED",,,
"025192","14","RESERVED",,,
"025192","15","MISSING",,,
"040214","0","Clear",,,
"040214","1","Cloud",,,
"040214","2","RESERVED",,,
"040214","3","RESERVED",,,
"040214","4","RESERVED",,,
"040214","5","RESERVED",,,
"040214","6","RESERVED",,,
"040214","7","RESERVED",,,
"040214","8","RESERVED",,,
"040214","9","RESERVED",,,
"040214","10","RESERVED",,,
"040214","11","RESERVED",,,
"040214","12","RESERVED",,,
"040214","13","RESERVED",,,
"040214","14","RESERVED",,,
"040214","15","RESERVED",,,
"005237","0","Mie",,,
"005237","1","Rayleigh",,,
"005237","2","RESERVED",,,
"005237","3","MISSING VALUE",,,
"008201","0","Satellite coordinates",,,
"008201","1","Observations coordinates",,,
"008201","2","Start of observation",,,
"008201","3","End of observation",,,
"008201","4","Horizontal centre of gravity of the observation",,,
"008201","5","Vertical centre of gravity of the observatio",,,
"008201","6","Top of the observation",,,
"008201","7","Bottom of the observation",,,
"008201","8","RESERVED",,,
"008201","9","RESERVED",,,
"008201","10","RESERVED",,,
"008201","11","RESERVED",,,
"008201","12","RESERVED",,,
"008201","13","RESERVED",,,
"008201","14","RESERVED",,,
"008201","255","MISSING VALUE",,,
