"FXY1","FXY2","Title_en","ElementName_en"
"301192","301011",,
"301192","301012",,
"301192","301023",,
"301192","301023",,
"301192","301023",,
"301192","301023",,
"301192","029001",,
"301192","005002",,
"301192","005002",,
"301192","005033",,
"301192","006033",,
"301192","030021",,
"301192","030022",,
"304230","004001",,
"304230","004002",,
"304230","004003",,
"304230","004004",,
"304230","004005",,
"304230","004006",,
"313192","101000",,
"313192","031001",,
"313192","010007",,
"321192","110000",,
"321192","031002",,
"321192","005031",,
"321192","107000",,
"321192","031001",,
"321192","102000",,
"321192","031001",,
"321192","031012",,
"321192","030001",,
"321192","101000",,
"321192","031001",,
"321192","030001",,
"321193","110000",,
"321193","031002",,
"321193","005031",,
"321193","107000",,
"321193","031001",,
"321193","102000",,
"321193","031001",,
"321193","031012",,
"321193","030002",,
"321193","101000",,
"321193","031001",,
"321193","030002",,
"321194","110000",,
"321194","031002",,
"321194","005031",,
"321194","107000",,
"321194","031001",,
"321194","102000",,
"321194","031001",,
"321194","031012",,
"321194","030001",,
"321194","101000",,
"321194","031001",,
"321194","030001",,
"321195","110000",,
"321195","031002",,
"321195","005031",,
"321195","107000",,
"321195","031001",,
"321195","102000",,
"321195","031001",,
"321195","031012",,
"321195","030002",,
"321195","101000",,
"321195","031001",,
"321195","030002",,
"321196","110000",,
"321196","031002",,
"321196","005031",,
"321196","107000",,
"321196","031001",,
"321196","102000",,
"321196","031001",,
"321196","031012",,
"321196","030001",,
"321196","101000",,
"321196","031001",,
"321196","030001",,
"321197","110000",,
"321197","031002",,
"321197","005031",,
"321197","107000",,
"321197","031001",,
"321197","102000",,
"321197","031001",,
"321197","031012",,
"321197","030002",,
"321197","101000",,
"321197","031001",,
"321197","030002",,
"321198","103000",,
"321198","031002",,
"321198","101000",,
"321198","031001",,
"321198","013016",,
"321199","110000",,
"321199","031001",,
"321199","301013",,
"321199","002134",,
"321199","002135",,
"321199","321006",,
"321199","021201",,"Range-bin size"
"321199","021202",,"Azimuthal resolution"
"321199","002193",,"Antenna rotation direction"
"321199","030021",,
"321199","030022",,
"321199","321193",,
"321200","110000",,
"321200","031002",,
"321200","005031",,
"321200","107000",,
"321200","031001",,
"321200","102000",,
"321200","031001",,
"321200","031012",,
"321200","013011",,
"321200","101000",,
"321200","031001",,
"321200","013011",,
"321201","110000",,
"321201","031001",,
"321201","301013",,
"321201","002134",,
"321201","002135",,
"321201","321006",,
"321201","021201",,"Range-bin size"
"321201","021202",,"Azimuthal resolution"
"321201","002193",,"Antenna rotation direction"
"321201","030194",,"Number of bins along the radial"
"321201","030195",,"Number of azimuths"
"321201","321202",,
"321202","110000",,
"321202","031002",,
"321202","005031",,
"321202","107000",,
"321202","031001",,
"321202","102000",,
"321202","031001",,
"321202","031012",,
"321202","021014",,
"321202","101000",,
"321202","031001",,
"321202","021014",,
"321210","118000",,
"321210","031002",,
"321210","201131",,
"321210","202131",,
"321210","004026",,
"321210","202000",,
"321210","201000",,
"321210","002134",,
"321210","002135",,
"321210","201132",,
"321210","202129",,
"321210","203010",,
"321210","021001",,
"321210","203255",,
"321210","101000",,
"321210","031002",,
"321210","021001",,
"321210","201000",,
"321210","202000",,
"321210","203000",,
"321211","110000",,
"321211","031002",,
"321211","201131",,
"321211","202131",,
"321211","004026",,
"321211","202000",,
"321211","201000",,
"321211","002134",,
"321211","002135",,
"321211","101000",,
"321211","031002",,
"321211","021014",,
"321250","104000",,
"321250","031001",,
"321250","001001",,
"321250","001002",,
"321250","031031",,
"321250","033003",,
