"FXY","ElementName_en","Note_en","BUFR_Unit","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits"
"013160","Radiometer liquid content",,"kg m-2","2","-350","10"
"013161","Radiometer liquid content (for test)",,"kg m-2","2","-350","10"
"021148","Trailing edge variation flag",,"FLAG TABLE","0","0","2"
"021176","Specific band corrected ocean backscatter coefficient",,"dB","2","-32768","16"
"021177","Std specific band corrected ocean backscatter coefficient",,"dB","2","-32768","16"
"021178","Specific band net instrumental correction for agc",,"DB","2","-2048","12"
"021179","Specific band automatic gain control",,"dB","2","0","13"
"021180","Rms specific band automatic gain control",,"dB","2","0","8"
"021181","Number of valid points for specific band automatic gain control",,"NUMERIC","0","0","7"
"022188","Specific band ocean range",,"m","3","0","31"
"022189","Specific band significant wave height",,"m","3","0","16"
"022190","Rms of specific band ocean range",,"m","4","0","16"
"022191","Number of valid points for specific band",,"Numeric","0","0","10"
"022192","Rms specific band significant wave height",,"m","3","0","16"
"022193","Number of valid points for specific band sign. wave height",,"NUMERIC","0","0","10"
"022194","Specific band net instr. correction for significant wave height",,"M","3","-1000","11"
"022195","Number of valid points for specific band backscatter",,"NUMERIC","0","0","10"
"025112","Band specific altimeter data quality flag",,"FLAG TABLE","0","0","9"
"025113","Band specific altimeter correction quality flag",,"FLAG TABLE","0","0","9"
"025165","Ionospheric correction from model on specific band",,"m","4","-32768","16"
"025166","Sea state bias correction on specific band",,"m","4","-32768","16"
"025167","Specific band net instrumental correction",,"m","4","-120000","18"
